"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_773","ESCOMPTES OBTENUS","773","account.data_account_type_revenue","l10n_ohada.gc_77","l10n_ohada.ohada_chart_template",,,
"pcg_7745","Revenus des obligations","7745","account.data_account_type_revenue","l10n_ohada.gc_774","l10n_ohada.ohada_chart_template",,,
"pcg_7746","Revenus des titres de placement","7746","account.data_account_type_revenue","l10n_ohada.gc_774","l10n_ohada.ohada_chart_template",,,
"pcg_775","INTÉRÊTS DANS LOYERS DE LOCATION ACQUISITION","775","account.data_account_type_revenue","l10n_ohada.gc_77","l10n_ohada.ohada_chart_template",,,
"pcg_776","GAINS DE CHANGE FINANCIERS","776","account.data_account_type_revenue","l10n_ohada.gc_77","l10n_ohada.ohada_chart_template",,,
"pcg_777","GAINS SUR CESSIONS DE TITRES DE PLACEMENT","777","account.data_account_type_revenue","l10n_ohada.gc_77","l10n_ohada.ohada_chart_template",,,
"pcg_7781","sur rentes viagères","7781","account.data_account_type_revenue","l10n_ohada.gc_778","l10n_ohada.ohada_chart_template",,,
"pcg_7782","sur opérations financières","7782","account.data_account_type_revenue","l10n_ohada.gc_778","l10n_ohada.ohada_chart_template",,,
"pcg_7784","sur instruments de trésorerie","7784","account.data_account_type_revenue","l10n_ohada.gc_778","l10n_ohada.ohada_chart_template",,,
"pcg_7791","sur risques financiers","7791","account.data_account_type_revenue","l10n_ohada.gc_779","l10n_ohada.ohada_chart_template",,,
"pcg_7795","sur titres de placement","7795","account.data_account_type_revenue","l10n_ohada.gc_779","l10n_ohada.ohada_chart_template",,,
"pcg_7798","sur autres charges pour dépréciations et provisions pour risque à court terme financier","7798","account.data_account_type_revenue","l10n_ohada.gc_779","l10n_ohada.ohada_chart_template",,,
"pcg_781","TRANSFERTS DE CHARGES D'EXPLOITATION","781","account.data_account_type_revenue","l10n_ohada.gc_78","l10n_ohada.ohada_chart_template",,,
"pcg_787","TRANSFERTS DE CHARGES FINANCIERES","787","account.data_account_type_revenue","l10n_ohada.gc_78","l10n_ohada.ohada_chart_template",,,
